Crop,AgroEcological Zone,Additional information,Early Sowing,,Later Sowing,,All year,Sowing rate,,Growing period,,Early harvest,,Late harvest,,AgroEcological Zone Description,AgroEcological Zone Practices,AgroEcological Zone Units,Comments En,Comments ES,Comments FR,Comments ZH,Comments AR,Comments RU
Barley,Middle Badia,"irrigated and rainfed, 16 kg DAP+ 5 kg urea",1,10,30,11,no,100-120,kg/ha,180,Days,1,5,1,6,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","row spacing 16 cm. irrigated and rainfed, 16 kg DAP+ 5 kg urea",,,,,
"Wheat, bread",Southern Badia,"15 kg DAP+ 5 kg urea, 0.2 ton/donum",15,11,30,12,no,120-140,kg/ha,180,Days,30,5,30,6,"Rainfall isohytes range within (50-200) mm/year (small areas recieves 300-400mm/year) , altitude range (-383-1812) m, mean annual range of max. tempreature(22-32) oC,mean annual range of min. tempreature(4-18) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, millet). Irrigated agriculture for : root, bulb and tubers (crops like potato) in addition to vegetables (crops like muskmelon, cabbage) moreover fruit trees (like almod, grape).","Qattraneh, qwayra, husyneh, wadi aebeh, ayl, jafer, mraygha, aqaba, hasa, um ar rasas","row spacing 17.5 cm. 15 kg DAP+ 5 kg urea, 0.2 ton/donum",,,,,
Barley,Southern Badia,"irrigated and rainfed, 16 kg DAP+ 5 kg urea, 0.28 ton/donum, 500 CWR",15,10,30,11,no,100-120,kg/ha,180,Days,15,5,15,6,"Rainfall isohytes range within (50-200) mm/year (small areas recieves 300-400mm/year) , altitude range (-383-1812) m, mean annual range of max. tempreature(22-32) oC,mean annual range of min. tempreature(4-18) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, millet). Irrigated agriculture for : root, bulb and tubers (crops like potato) in addition to vegetables (crops like muskmelon, cabbage) moreover fruit trees (like almod, grape).","Qattraneh, qwayra, husyneh, wadi aebeh, ayl, jafer, mraygha, aqaba, hasa, um ar rasas","row spacing 16 cm. irrigated and rainfed, 16 kg DAP+ 5 kg urea, 0.28 ton/donum, 500 CWR",,,,,
"Millet, barnyard",Southern Badia,"10 kg DAP+10 kg urea, 500 CWR",1,4,,,no,100,kg/ha,60-90,Days,1,6,,,"Rainfall isohytes range within (50-200) mm/year (small areas recieves 300-400mm/year) , altitude range (-383-1812) m, mean annual range of max. tempreature(22-32) oC,mean annual range of min. tempreature(4-18) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, millet). Irrigated agriculture for : root, bulb and tubers (crops like potato) in addition to vegetables (crops like muskmelon, cabbage) moreover fruit trees (like almod, grape).","Qattraneh, qwayra, husyneh, wadi aebeh, ayl, jafer, mraygha, aqaba, hasa, um ar rasas","10 kg DAP+10 kg urea, 500 CWR",,,,,
"Bean, broad",Northern Badia,"All type of soil except saline and alkali soil, organic fertilizers will be added to the soil before planting, CWR (m3 water/du.) =706",1,12,15,1,no,80-100,kg/ha,120,Days,1,3,15,4,"Rainfall isohytes range within (50-300) mm/year , altitude range (468-1224) m, mean annual range of max. tempreature(22-28) oC,mean annual range of min. tempreature(4-12) oC. The zone ocuupies an estimated area equals to Km2 ofJordan","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, garlic) in addition to vegetables (crops like Pepper, Spanich) moreover fruit trees (like orange, palm).","Mafreq , badia shmalya, badia shmalya gharbieh, rwieshed","organic fertilizers will be added to the soil before planting. All type of soil except saline and alkali soil, organic fertilizers will be added to the soil before planting, CWR (m3 water/du.) =706",,,,,
Bean,Northern Badia,"CWR (m3 water/du.) =311,",15,2,30,3,no,40-60,kg/ha,55-65,Days,15,4,30,5,"Rainfall isohytes range within (50-300) mm/year , altitude range (468-1224) m, mean annual range of max. tempreature(22-28) oC,mean annual range of min. tempreature(4-12) oC. The zone ocuupies an estimated area equals to Km2 ofJordan","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, garlic) in addition to vegetables (crops like Pepper, Spanich) moreover fruit trees (like orange, palm).","Mafreq , badia shmalya, badia shmalya gharbieh, rwieshed","CWR (m3 water/du.) =311,",,,,,
"Bean, broad",Middle Badia,"All type of soil except saline and alkali soil, organic fertilizers will be added to the soil before planting, CWR (m3 water/du.) =706",1,12,15,1,no,80-100,kg/ha,120,Days,1,3,15,4,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","organic fertilizers will be added to the soil before planting. All type of soil except saline and alkali soil, organic fertilizers will be added to the soil before planting, CWR (m3 water/du.) =706",,,,,
Clover,Southern Badia,"15 kg DAP+ 15 kg urea, 55 bale/donum, 2000 CWR",15,10,15,11,no,40,kg/ha,70,Days,10,12,30,12,"Rainfall isohytes range within (50-200) mm/year (small areas recieves 300-400mm/year) , altitude range (-383-1812) m, mean annual range of max. tempreature(22-32) oC,mean annual range of min. tempreature(4-18) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, millet). Irrigated agriculture for : root, bulb and tubers (crops like potato) in addition to vegetables (crops like muskmelon, cabbage) moreover fruit trees (like almod, grape).","Qattraneh, qwayra, husyneh, wadi aebeh, ayl, jafer, mraygha, aqaba, hasa, um ar rasas","15 kg DAP+ 15 kg urea, 55 bale/donum, 2000 CWR",,,,,
"Bean, broad",Southern Badia,"All type of soil except saline and alkali soil, organic fertilizers will be added to the soil before planting, CWR (m3 water/du.) =706",1,12,15,1,no,80-100,kg/ha,120,Days,1,3,15,4,"Rainfall isohytes range within (50-200) mm/year (small areas recieves 300-400mm/year) , altitude range (-383-1812) m, mean annual range of max. tempreature(22-32) oC,mean annual range of min. tempreature(4-18) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, millet). Irrigated agriculture for : root, bulb and tubers (crops like potato) in addition to vegetables (crops like muskmelon, cabbage) moreover fruit trees (like almod, grape).","Qattraneh, qwayra, husyneh, wadi aebeh, ayl, jafer, mraygha, aqaba, hasa, um ar rasas","organic fertilizers will be added to the soil before planting. All type of soil except saline and alkali soil, organic fertilizers will be added to the soil before planting, CWR (m3 water/du.) =706",,,,,
Bean,Southern Badia,"CWR (m3 water/du.) =311,",15,2,30,3,no,40-60,kg/ha,55-65,Days,15,4,30,5,"Rainfall isohytes range within (50-200) mm/year (small areas recieves 300-400mm/year) , altitude range (-383-1812) m, mean annual range of max. tempreature(22-32) oC,mean annual range of min. tempreature(4-18) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, millet). Irrigated agriculture for : root, bulb and tubers (crops like potato) in addition to vegetables (crops like muskmelon, cabbage) moreover fruit trees (like almod, grape).","Qattraneh, qwayra, husyneh, wadi aebeh, ayl, jafer, mraygha, aqaba, hasa, um ar rasas","CWR (m3 water/du.) =311,",,,,,
Onion,Northern Badia,"Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =360",1,9,31,12,no,5,kg/ha,150,Days,1,2,1,3,"Rainfall isohytes range within (50-300) mm/year , altitude range (468-1224) m, mean annual range of max. tempreature(22-28) oC,mean annual range of min. tempreature(4-12) oC. The zone ocuupies an estimated area equals to Km2 ofJordan","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, garlic) in addition to vegetables (crops like Pepper, Spanich) moreover fruit trees (like orange, palm).","Mafreq , badia shmalya, badia shmalya gharbieh, rwieshed","Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =360",,,,,
Garlic,Northern Badia,"Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure",1,2,1,3,no,800000,plantsha,90,Days,1,5,1,6,"Rainfall isohytes range within (50-300) mm/year , altitude range (468-1224) m, mean annual range of max. tempreature(22-28) oC,mean annual range of min. tempreature(4-12) oC. The zone ocuupies an estimated area equals to Km2 ofJordan","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, garlic) in addition to vegetables (crops like Pepper, Spanich) moreover fruit trees (like orange, palm).","Mafreq , badia shmalya, badia shmalya gharbieh, rwieshed","Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure. Open field",,,,,
Radish,Northern Badia,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure",1,1,1,10,no,600000,plantsha,120,Days,1,5,1,2,"Rainfall isohytes range within (50-300) mm/year , altitude range (468-1224) m, mean annual range of max. tempreature(22-28) oC,mean annual range of min. tempreature(4-12) oC. The zone ocuupies an estimated area equals to Km2 ofJordan","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, garlic) in addition to vegetables (crops like Pepper, Spanich) moreover fruit trees (like orange, palm).","Mafreq , badia shmalya, badia shmalya gharbieh, rwieshed","Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure. Open field ",,,,,
Onion,Middle Badia,"Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =360",1,9,31,12,no,5,kg/ha,150,Days,1,2,1,3,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =360",,,,,
Radish,Middle Badia,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, ",5,2,1,11,no,600000,plantsha,50,Days,24,3,3,12,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure. Open field  ",,,,,
Turnip,Middle Badia,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure",5,2,1,10,no,600000,plantsha,60,Days,5,4,25,11,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure",,,,,
Potato,Middle Badia,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =189-368",1,2,15,3,no,35000,plantsha,90,Days,1,5,15,6,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =189-368. Open field ",,,,,
Potato,Middle Badia,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =189-368,",1,7,15,8,no,35000,plantsha,90,Days,30,9,15,11,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =189-368. Open field ",,,,,
Garlic,Middle Badia,"Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, ",25,2,20,4,no,800000,plantsha,120-150,Days,15,7,10,8,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure. Open field  ",,,,,
Carrot,Middle Badia,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =325, ",5,2,15,9,no,600000,plantsha,120,Days,4,6,14,12,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =325. Open field ",,,,,
Potato,Southern Badia,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =189-368,",1,10,15,11,no,35000,plantsha,120,Days,1,2,15,3,"Rainfall isohytes range within (50-200) mm/year (small areas recieves 300-400mm/year) , altitude range (-383-1812) m, mean annual range of max. tempreature(22-32) oC,mean annual range of min. tempreature(4-18) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, millet). Irrigated agriculture for : root, bulb and tubers (crops like potato) in addition to vegetables (crops like muskmelon, cabbage) moreover fruit trees (like almod, grape).","Qattraneh, qwayra, husyneh, wadi aebeh, ayl, jafer, mraygha, aqaba, hasa, um ar rasas","Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =189-368,",,,,,
Onion,Southern Badia,"Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =360",1,9,31,12,no,5,kg/ha,150,Days,1,2,1,3,"Rainfall isohytes range within (50-200) mm/year (small areas recieves 300-400mm/year) , altitude range (-383-1812) m, mean annual range of max. tempreature(22-32) oC,mean annual range of min. tempreature(4-18) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, millet). Irrigated agriculture for : root, bulb and tubers (crops like potato) in addition to vegetables (crops like muskmelon, cabbage) moreover fruit trees (like almod, grape).","Qattraneh, qwayra, husyneh, wadi aebeh, ayl, jafer, mraygha, aqaba, hasa, um ar rasas","Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =360",,,,,
Cauliflower,Northern Badia,"From heavy to light, fertile with good drainage and aeration, irrigated, 150 kg chem. + 300 kg org. fert., 2.5 in open field, 650 CWR",1,10,1,12,no,20000,plantsha,120,Days,1,1,1,3,"Rainfall isohytes range within (50-300) mm/year , altitude range (468-1224) m, mean annual range of max. tempreature(22-28) oC,mean annual range of min. tempreature(4-12) oC. The zone ocuupies an estimated area equals to Km2 ofJordan","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, garlic) in addition to vegetables (crops like Pepper, Spanich) moreover fruit trees (like orange, palm).","Mafreq , badia shmalya, badia shmalya gharbieh, rwieshed","From heavy to light, fertile with good drainage and aeration, irrigated, 150 kg chem. + 300 kg org. fert., 2.5 in open field, 650 CWR",,,,,
"Cabbage, common",Northern Badia,"sandy clay soil, irrigated, 151 kg chem. + 300 kg org. fert., 3 ton in open field, 650 CWR",1,10,1,12,no,20000,plantsha,120,Days,1,1,1,3,"Rainfall isohytes range within (50-300) mm/year , altitude range (468-1224) m, mean annual range of max. tempreature(22-28) oC,mean annual range of min. tempreature(4-12) oC. The zone ocuupies an estimated area equals to Km2 ofJordan","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, garlic) in addition to vegetables (crops like Pepper, Spanich) moreover fruit trees (like orange, palm).","Mafreq , badia shmalya, badia shmalya gharbieh, rwieshed","sandy clay soil, irrigated, 151 kg chem. + 300 kg org. fert., 3 ton in open field, 650 CWR",,,,,
Lettuce,Northern Badia,"Sandy to heavy land, with good drainage and aeration, irrigated, productivity 3.5, 150 CWR",1,11,1,12,no,100000,plantsha,150,Days,1,4,1,5,"Rainfall isohytes range within (50-300) mm/year , altitude range (468-1224) m, mean annual range of max. tempreature(22-28) oC,mean annual range of min. tempreature(4-12) oC. The zone ocuupies an estimated area equals to Km2 ofJordan","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, garlic) in addition to vegetables (crops like Pepper, Spanich) moreover fruit trees (like orange, palm).","Mafreq , badia shmalya, badia shmalya gharbieh, rwieshed","Sandy to heavy land, with good drainage and aeration, irrigated, productivity 3.5, 150 CWR",,,,,
Spinach,Northern Badia,"All types of soil with good drainage, irrigated, productivity 2-3",1,11,1,12,no,200000,plantsha,150,Days,1,4,1,5,"Rainfall isohytes range within (50-300) mm/year , altitude range (468-1224) m, mean annual range of max. tempreature(22-28) oC,mean annual range of min. tempreature(4-12) oC. The zone ocuupies an estimated area equals to Km2 ofJordan","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, garlic) in addition to vegetables (crops like Pepper, Spanich) moreover fruit trees (like orange, palm).","Mafreq , badia shmalya, badia shmalya gharbieh, rwieshed","All types of soil with good drainage, irrigated, productivity 2-3",,,,,
Eggplant,Northern Badia,"sandy clay soil, irrigated, 300 kg chem. Fert. + 600 kg organ. Ferti., 7 ton for open field, 800 CWR",1,3,1,4,no,25000,plantsha,90,Days,1,7,1,8,"Rainfall isohytes range within (50-300) mm/year , altitude range (468-1224) m, mean annual range of max. tempreature(22-28) oC,mean annual range of min. tempreature(4-12) oC. The zone ocuupies an estimated area equals to Km2 ofJordan","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, garlic) in addition to vegetables (crops like Pepper, Spanich) moreover fruit trees (like orange, palm).","Mafreq , badia shmalya, badia shmalya gharbieh, rwieshed","sandy clay soil, irrigated, 300 kg chem. Fert. + 600 kg organ. Ferti., 7 ton for open field, 800 CWR",,,,,
Pumpkin,Northern Badia,"fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , 450 CWR",1,5,1,7,no,20000,plantsha,120,Days,1,7,1,9,"Rainfall isohytes range within (50-300) mm/year , altitude range (468-1224) m, mean annual range of max. tempreature(22-28) oC,mean annual range of min. tempreature(4-12) oC. The zone ocuupies an estimated area equals to Km2 ofJordan","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, garlic) in addition to vegetables (crops like Pepper, Spanich) moreover fruit trees (like orange, palm).","Mafreq , badia shmalya, badia shmalya gharbieh, rwieshed","fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , 450 CWR",,,,,
Sweet pepper,Northern Badia,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 7 ton for protected + 5 ton for open field, 750-1000 CWR",1,2,1,4,no,25000,plantsha,90,Days,1,5,1,8,"Rainfall isohytes range within (50-300) mm/year , altitude range (468-1224) m, mean annual range of max. tempreature(22-28) oC,mean annual range of min. tempreature(4-12) oC. The zone ocuupies an estimated area equals to Km2 ofJordan","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, garlic) in addition to vegetables (crops like Pepper, Spanich) moreover fruit trees (like orange, palm).","Mafreq , badia shmalya, badia shmalya gharbieh, rwieshed","Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 7 ton for protected + 5 ton for open field, 750-1000 CWR",,,,,
Watermelon,Northern Badia,"yelow soil, irrigated, 200 kg chem. Fert. + 600 org. fert., 6 ton in open field, CWR (m3 water/du.) =370",1,3,1,7,no,10000,plantsha,90,Days,1,5,1,9,"Rainfall isohytes range within (50-300) mm/year , altitude range (468-1224) m, mean annual range of max. tempreature(22-28) oC,mean annual range of min. tempreature(4-12) oC. The zone ocuupies an estimated area equals to Km2 ofJordan","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, garlic) in addition to vegetables (crops like Pepper, Spanich) moreover fruit trees (like orange, palm).","Mafreq , badia shmalya, badia shmalya gharbieh, rwieshed","yelow soil, irrigated, 200 kg chem. Fert. + 600 org. fert., 6 ton in open field, CWR (m3 water/du.) =370",,,,,
Melon,Northern Badia,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 5 ton in open field, CWR (m3 water/du.) =370",1,3,1,7,no,15000,plantsha,90,Days,1,5,1,9,"Rainfall isohytes range within (50-300) mm/year , altitude range (468-1224) m, mean annual range of max. tempreature(22-28) oC,mean annual range of min. tempreature(4-12) oC. The zone ocuupies an estimated area equals to Km2 ofJordan","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, garlic) in addition to vegetables (crops like Pepper, Spanich) moreover fruit trees (like orange, palm).","Mafreq , badia shmalya, badia shmalya gharbieh, rwieshed","Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 5 ton in open field, CWR (m3 water/du.) =370",,,,,
Cauliflower,Middle Badia,"From heavy to light, fertile with good drainage and aeration, irrigated, 150 kg chem. + 300 kg org. fert., 2.5 in open field, 650 CWR",10,2,15,8,no,32500,plantsha,91,Days,10,6,14,11,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","From heavy to light, fertile with good drainage and aeration, irrigated, 150 kg chem. + 300 kg org. fert., 2.5 in open field, 650 CWR. Open field ",,,,,
"Cabbage, common",Middle Badia,"sandy clay soil, irrigated, 151 kg chem. + 300 kg org. fert., 3 ton in open field, 650 CWR",5,2,15,9,no,35000,plantsha,100,Days,30,5,24,12,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","sandy clay soil, irrigated, 151 kg chem. + 300 kg org. fert., 3 ton in open field, 650 CWR. Open field ",,,,,
Tomato,Middle Badia,"clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, 600 CWR",1,3,15,6,no,24000-26000,plantsha,156,Days,20,5,18,11,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, 600 CWR. Protected",,,,,
Tomato,Middle Badia,"clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, 600 CWR",15,3,1,5,no,20000,plantsha,144,Days,23,6,22,9,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","clay loam soil are well drained and aerated, irrigated, 350 kg chem. Fertilizer + 600 kg organic fert., 10 ton for protected and 6 ton for open field, 600 CWR. open field ",,,,,
Eggplant,Middle Badia,"sandy clay soil, irrigated, 300 kg chem. Fert. + 600 kg organ. Ferti., 7 ton for open field, 800 CWR",15,2,15,6,no,24000-26000,plantsha,150,Days,25,5,12,11,"Rainfall isohytes range within (50-250) mm/year (small areas recieves 300-400mm/year) , altitude range (490-957) m, mean annual range of max. tempreature(22-24) oC,mean annual range of min. tempreature(8-12) oC.","Irrigated and rainfed agriculture for cereals( crops like wheat, barley). Irrigated agriculture for : root, bulb and tubers (crops like onion, carrot) in addition to vegetables (crops like tomato, cucumber) moreover fruit trees (like peach, pomegranate).","Aljiza, dhulail, mwaqer, AlAzraq","sandy clay soil, irrigated, 300 kg chem. Fert. + 600 kg organ. Ferti., 7 ton for open field, 800 CWR. Protected ",,,,,
